Timestamp,Fixation Index,Fixation Duration,SourceStimuliName,source_file_line,source_file_col
578769.3338,1703,108.3366,t7_eclipse (C_5.java),29,23
578902.6038,1704,149.9682,t7_eclipse (C_5.java),30,21
579669.2011,1705,91.6706,t7_eclipse (C_5.java),29,21
579844.1843,1706,100.0132,t7_eclipse (C_5.java),29,24
581560.7178,1708,66.664,t7_eclipse (C_5.java),29,26
581869.023,1709,66.6631,t7_eclipse (C_5.java),21,31
582027.3438,1710,99.9921,t7_eclipse (C_5.java),21,31
582110.6408,1711,75.0696,t7_eclipse (C_5.java),22,30
583168.9006,1712,141.62505,t7_eclipse (C_5.java),29,38
583302.2052,1713,75.0245,t7_eclipse (C_5.java),29,41
583418.8675,1714,399.98885,t7_eclipse (C_5.java),29,38
584493.7586,1716,191.58815,t7_eclipse (C_5.java),16,15
584727.1528,1717,124.9665,t7_eclipse (C_5.java),15,13
584952.0681,1718,283.35685,t7_eclipse (C_5.java),15,19
585377.0044,1719,83.30885,t7_eclipse (C_5.java),30,36
585568.6531,1720,124.9889,t7_eclipse (C_5.java),29,36
585810.3021,1721,75.01155,t7_eclipse (C_5.java),30,39
586251.9669,1722,141.65715,t7_eclipse (C_5.java),30,37
586418.6048,1723,266.64265,t7_eclipse (C_5.java),29,45
587285.2001,1724,174.9891,t7_eclipse (C_5.java),29,41
587610.1502,1725,108.3498,t7_eclipse (C_5.java),29,23
587926.7742,1726,166.66795,t7_eclipse (C_5.java),30,42
588135.1881,1727,149.97535,t7_eclipse (C_5.java),29,42
588410.0733,1728,266.66865,t7_eclipse (C_5.java),29,41
588810.0282,1729,174.96525,t7_eclipse (C_5.java),29,36
589134.9847,1731,199.9559,t7_eclipse (C_5.java),29,34
589393.2979,1732,108.30985,t7_eclipse (C_5.java),30,27
589768.3088,1733,91.6398,t7_eclipse (C_5.java),29,39
590043.2634,1734,216.66005,t7_eclipse (C_5.java),29,37
590384.812,1735,308.25785,t7_eclipse (C_5.java),29,43
590959.7813,1736,291.66465,t7_eclipse (C_5.java),21,15
591501.3721,1737,199.97015,t7_eclipse (C_5.java),20,9
591959.6731,1738,124.99675,t7_eclipse (C_5.java),30,42
592159.621,1739,66.6767,t7_eclipse (C_5.java),29,44
592184.6323,1740,83.31525,t7_eclipse (C_5.java),29,43
592601.2068,1741,75.0055,t7_eclipse (C_5.java),21,19
592759.5098,1742,183.3288,t7_eclipse (C_5.java),21,28
592992.8615,1743,83.2972,t7_eclipse (C_5.java),22,33
593059.4906,1744,141.6754,t7_eclipse (C_5.java),22,33
593234.4894,1745,108.29305,t7_eclipse (C_5.java),22,37
593801.0566,1746,158.3305,t7_eclipse (C_5.java),29,24
594067.8271,1747,66.69815,t7_eclipse (C_5.java),29,18
594201.0187,1748,91.5963,t7_eclipse (C_5.java),30,17
594342.6762,1749,124.99405,t7_eclipse (C_5.java),29,21
594526.0056,1750,158.30795,t7_eclipse (C_5.java),22,32
594859.3016,1751,191.64175,t7_eclipse (C_5.java),23,34
595100.9635,1752,158.29385,t7_eclipse (C_5.java),29,37
595375.9736,1753,66.64045,t7_eclipse (C_5.java),30,37
595992.6022,1754,74.966,t7_eclipse (C_5.java),22,35
596234.2379,1755,258.27535,t7_eclipse (C_5.java),22,31
596525.7995,1756,566.6157,t7_eclipse (C_5.java),22,32
597134.1044,1757,166.63305,t7_eclipse (C_5.java),23,35
597409.0812,1758,333.36425,t7_eclipse (C_5.java),20,12
597809.0259,1759,174.9564,t7_eclipse (C_5.java),18,15
598050.658,1760,133.3149,t7_eclipse (C_5.java),16,9
598200.6452,1761,91.6556,t7_eclipse (C_5.java),16,13
598433.9582,1762,141.644,t7_eclipse (C_5.java),21,16
598650.6233,1763,124.97665,t7_eclipse (C_5.java),22,34
599367.181,1765,216.682,t7_eclipse (C_5.java),20,16
600142.0977,1767,308.35545,t7_eclipse (C_5.java),22,35
600850.3901,1768,133.28165,t7_eclipse (C_5.java),30,36
601125.3594,1769,99.9605,t7_eclipse (C_5.java),30,42
601242.0009,1770,91.6974,t7_eclipse (C_5.java),29,37
601375.3612,1771,208.29145,t7_eclipse (C_5.java),30,32
601691.9629,1772,191.61885,t7_eclipse (C_5.java),29,37
602300.2213,1773,91.6628,t7_eclipse (C_5.java),29,31
602458.5304,1774,174.9351,t7_eclipse (C_5.java),30,45
602983.4754,1775,108.3042,t7_eclipse (C_5.java),29,27
603108.455,1776,91.6022,t7_eclipse (C_5.java),30,32
603608.4107,1777,83.3148,t7_eclipse (C_5.java),30,38
603808.3908,1778,1474.88405,t7_eclipse (C_5.java),30,45
605449.8708,1779,74.97,t7_eclipse (C_5.java),21,22
605574.889,1780,216.6371,t7_eclipse (C_5.java),22,21
605883.1638,1781,108.3371,t7_eclipse (C_5.java),22,28
606091.5048,1782,91.63755,t7_eclipse (C_5.java),22,35
606391.4735,1783,83.3637,t7_eclipse (C_5.java),22,38
606558.103,1784,116.654,t7_eclipse (C_5.java),22,43
606916.4247,1785,283.311,t7_eclipse (C_5.java),23,17
607366.386,1786,191.56635,t7_eclipse (C_5.java),23,29
607807.9987,1787,133.3271,t7_eclipse (C_5.java),22,24
608066.3294,1788,266.7065,t7_eclipse (C_5.java),22,38
608491.2874,1789,174.99065,t7_eclipse (C_5.java),21,31
608807.9235,1790,208.2932,t7_eclipse (C_5.java),22,39
609141.217,1791,199.98365,t7_eclipse (C_5.java),22,33
609416.1905,1792,166.6408,t7_eclipse (C_5.java),22,32
609607.824,1793,216.66165,t7_eclipse (C_5.java),21,19
609857.8317,1794,299.9625,t7_eclipse (C_5.java),23,26
610374.429,1795,66.64215,t7_eclipse (C_5.java),22,35
610491.1934,1796,91.6968,t7_eclipse (C_5.java),22,42
610699.4216,1797,74.99645,t7_eclipse (C_5.java),13,17
610782.7519,1798,83.2993,t7_eclipse (C_5.java),13,16
