,importance,feature,round
Sub-scanEntropy_sum,0.0734017994917203,Sub-scanEntropy_sum,3;7
Fixation Duration_sum,0.0588516169162228,Fixation Duration_sum,3;7
saccadic amplitude_sum,0.0566098646877064,saccadic amplitude_sum,3;7
fixation_NumberOfPupilPeaks_sum,0.0501948348415156,fixation_NumberOfPupilPeaks_sum,3;7
fixation_PupilPeaksAmplitude_sum_sum,0.0476078369649812,fixation_PupilPeaksAmplitude_sum_sum,3;7
fixation_PupilPeaksAmplitude_std_sum,0.037100101003355,fixation_PupilPeaksAmplitude_std_sum,3;7
fixation_PupilSize_min_sum,0.0340658856006877,fixation_PupilSize_min_sum,3;7
non-horizontal saccade_sum,0.0313612058848944,non-horizontal saccade_sum,3;7
fixation_PupilSize_median_sum,0.0290457130464049,fixation_PupilSize_median_sum,3;7
horizontal saccade_sum,0.0260701174340916,horizontal saccade_sum,3;7
fixation_PupilSize_std_sum,0.0245256945380482,fixation_PupilSize_std_sum,3;7
fixation_PupilPeaksAmplitude_mean_sum,0.02363479367975,fixation_PupilPeaksAmplitude_mean_sum,3;7
Sub-scanAverageWeightedDegree_sum,0.0224839203540491,Sub-scanAverageWeightedDegree_sum,3;7
fixation_PupilSize_mean_sum,0.0217241771501376,fixation_PupilSize_mean_sum,3;7
fixation_PupilPeaksAmplitude_min_sum,0.0201274551299474,fixation_PupilPeaksAmplitude_min_sum,3;7
fixation_PupilSize_sum_sum,0.0192874738342112,fixation_PupilSize_sum_sum,3;7
Sub-scanDensity_sum,0.018016326974331,Sub-scanDensity_sum,3;7
fixation_PupilPeaksAmplitude_median_sum,0.0163141221299571,fixation_PupilPeaksAmplitude_median_sum,3;7
Fixation Count_sum,0.2292913954109955,Fixation Count_sum,4;7
fixation_PupilPeaksAmplitude_std_sum,0.0813501724492054,fixation_PupilPeaksAmplitude_std_sum,4;7
fixation_PupilSize_std_sum,0.0767606063799668,fixation_PupilSize_std_sum,4;7
saccadic amplitude_sum,0.0745218924295198,saccadic amplitude_sum,4;7
horizontal saccade_std,0.0661286768346707,horizontal saccade_std,4;7
Sub-scanAverageWeightedDegree_sum,0.0618237174921018,Sub-scanAverageWeightedDegree_sum,4;7
Fixation Duration_sum,0.0543882333005209,Fixation Duration_sum,4;7
fixation_NumberOfPupilPeaks_sum,0.0465545240355664,fixation_NumberOfPupilPeaks_sum,4;7
fixation_PupilSize_min_sum,0.0379621742789989,fixation_PupilSize_min_sum,4;7
fixation_PupilSize_max_sum,0.0362619037511785,fixation_PupilSize_max_sum,4;7
Sub-scanEntropy_sum,0.036238282366517,Sub-scanEntropy_sum,4;7
Sub-scanNUniqueVisits_sum,0.0354925664433605,Sub-scanNUniqueVisits_sum,4;7
fixation_PupilPeaksAmplitude_median_sum,0.0354454106434839,fixation_PupilPeaksAmplitude_median_sum,4;7
fixation_PupilPeaksAmplitude_mean_sum,0.0283614823470534,fixation_PupilPeaksAmplitude_mean_sum,4;7
non-horizontal saccade_sum,0.0212414157033451,non-horizontal saccade_sum,4;7
Sub-scanDensity_sum,0.020530457127531,Sub-scanDensity_sum,4;7
fixation_PupilPeaksAmplitude_sum_sum,0.0199886918007038,fixation_PupilPeaksAmplitude_sum_sum,4;7
horizontal saccade_sum,0.019215210355987,horizontal saccade_sum,4;7
Sub-scanNtranstions_sum,0.0098900197336978,Sub-scanNtranstions_sum,4;7
fixation_PupilSize_median_sum,0.0085531671155948,fixation_PupilSize_median_sum,4;7
fixation_PupilSize_std_sum,0.2685063165994352,fixation_PupilSize_std_sum,5;7
Fixation Duration_sum,0.0926790896296275,Fixation Duration_sum,5;7
saccadic amplitude_sum,0.0811184667060995,saccadic amplitude_sum,5;7
Sub-scanEntropy_sum,0.0701003823476191,Sub-scanEntropy_sum,5;7
Fixation Count_sum,0.0652949289712728,Fixation Count_sum,5;7
fixation_NumberOfPupilPeaks_sum,0.0617573943283801,fixation_NumberOfPupilPeaks_sum,5;7
